id,name,short_name,description
649,Energía Solución de Restricciones técnicas del mercado seguridad del intradiario sesión 7 bajar,Solución de Restricciones técnicas seguridad del intradiario sesión 7 bajar,<p>Proceso de solución de restricciones técnicas en el MI o Mercado de Seguridad del Intradiario es realizado por el Operador del sistema consistente en la resolución de las restricciones técnicas identificadas tras las actualizaciones de los programas de energía realizadas en el mercado intradiario mediante la retirada de ofertas casadas en este mercado.</p><p>Este servicio se encuentra regulado en el P.O.-3.2.</p><p>En concreto este indicador se refiere a la energía asignada por restricciones técnicas en el mercado de seguridad del intradiario en la sesión 7 a bajar.</p><p><b>Publicación:</b> diariamente sobre las 19:30 horas con la información de los tres últimos periodos del día D-2.</p>
650,Energía equilibrio generación-demanda mercado seguridad intradiario sesión 1 subir,Equilibrio generación-demanda seguridad intradiario sesión 1 subir,<p>Proceso de solución de restricciones técnicas en el MI o Mercado de Seguridad del Intradiario es realizado por el Operador del sistema consistente en la resolución de las restricciones técnicas identificadas tras las actualizaciones de los programas de energía realizadas en el mercado intradiario mediante la retirada de ofertas casadas en este mercado.</p><p>Este servicio se encuentra regulado en el P.O.-3.2.</p><p>En concreto este indicador se refiere a la energía asignada para equilibrio generación-demanda en el mercado de seguridad del intradiario en la sesión 1 a subir.</p><p><b>Publicación:</b> diariamente sobre las 19:30 horas con la información del día D-1.</p>
651,Energía equilibrio generación-demanda mercado seguridad intradiario sesión 2 subir,Equilibrio generación-demanda seguridad intradiario sesión 2 subir,<p>Proceso de solución de restricciones técnicas en el MI o Mercado de Seguridad del Intradiario es realizado por el Operador del sistema consistente en la resolución de las restricciones técnicas identificadas tras las actualizaciones de los programas de energía realizadas en el mercado intradiario mediante la retirada de ofertas casadas en este mercado.</p><p>Este servicio se encuentra regulado en el P.O.-3.2.</p><p>En concreto este indicador se refiere a la energía asignada para equilibrio generación-demanda en el mercado de seguridad del intradiario en la sesión 2 a subir.</p><p><b>Publicación:</b> diariamente sobre las 19:30 horas con la información del día D-1.</p>
652,Energía equilibrio generación-demanda mercado seguridad intradiario sesión 3 subir,Equilibrio generación-demanda seguridad intradiario sesión 2 subir,<p>Proceso de solución de restricciones técnicas en el MI o Mercado de Seguridad del Intradiario es realizado por el Operador del sistema consistente en la resolución de las restricciones técnicas identificadas tras las actualizaciones de los programas de energía realizadas en el mercado intradiario mediante la retirada de ofertas casadas en este mercado.</p><p>Este servicio se encuentra regulado en el P.O.-3.2.</p><p>En concreto este indicador se refiere a la energía asignada para equilibrio generación-demanda en el mercado de seguridad del intradiario en la sesión 3 a subir.</p><p><b>Publicación:</b> diariamente sobre las 19:30 horas con la información del día D-1.</p>
653,Energía equilibrio generación-demanda mercado seguridad intradiario sesión 4 subir,Equilibrio generación-demanda seguridad intradiario sesión 4 subir,<p>Proceso de solución de restricciones técnicas en el MI o Mercado de Seguridad del Intradiario es realizado por el Operador del sistema consistente en la resolución de las restricciones técnicas identificadas tras las actualizaciones de los programas de energía realizadas en el mercado intradiario mediante la retirada de ofertas casadas en este mercado.</p><p>Este servicio se encuentra regulado en el P.O.-3.2.</p><p>En concreto este indicador se refiere a la energía asignada para equilibrio generación-demanda en el mercado de seguridad del intradiario en la sesión 4 a subir.</p><p><b>Publicación:</b> diariamente sobre las 19:30 horas con la información del día D-1.</p>
654,Energía equilibrio generación-demanda mercado seguridad intradiario sesión 5 subir,Equilibrio generación-demanda seguridad intradiario sesión 5 subir,<p>Proceso de solución de restricciones técnicas en el MI o Mercado de Seguridad del Intradiario es realizado por el Operador del sistema consistente en la resolución de las restricciones técnicas identificadas tras las actualizaciones de los programas de energía realizadas en el mercado intradiario mediante la retirada de ofertas casadas en este mercado.</p><p>Este servicio se encuentra regulado en el P.O.-3.2.</p><p>En concreto este indicador se refiere a la energía asignada para equilibrio generación-demanda en el mercado de seguridad del intradiario en la sesión 5 a subir.</p><p><b>Publicación:</b> diariamente sobre las 19:30 horas con la información del día D-1.</p>
655,Energía equilibrio generación-demanda mercado seguridad intradiario sesión 6 subir,Equilibrio generación-demanda seguridad intradiario sesión 6 subir,<p>Proceso de solución de restricciones técnicas en el MI o Mercado de Seguridad del Intradiario es realizado por el Operador del sistema consistente en la resolución de las restricciones técnicas identificadas tras las actualizaciones de los programas de energía realizadas en el mercado intradiario mediante la retirada de ofertas casadas en este mercado.</p><p>Este servicio se encuentra regulado en el P.O.-3.2.</p><p>En concreto este indicador se refiere a la energía asignada para equilibrio generación-demanda en el mercado de seguridad del intradiario en la sesión 6 a subir.</p><p><b>Publicación:</b> diariamente sobre las 19:30 horas con la información del día D-1.</p>
656,Energía equilibrio generación-demanda mercado seguridad intradiario sesión 7 subir,Equilibrio generación-demanda seguridad intradiario sesión 7 subir,<p>Proceso de solución de restricciones técnicas en el MI o Mercado de Seguridad del Intradiario es realizado por el Operador del sistema consistente en la resolución de las restricciones técnicas identificadas tras las actualizaciones de los programas de energía realizadas en el mercado intradiario mediante la retirada de ofertas casadas en este mercado.</p><p>Este servicio se encuentra regulado en el P.O.-3.2.</p><p>En concreto este indicador se refiere a la energía asignada para equilibrio generación-demanda en el mercado de seguridad del intradiario en la sesión 7 a subir.</p><p><b>Publicación:</b> diariamente sobre las 19:30 horas con la información de los tres últimos periodos del día D-2.</p>
657,Energía equilibrio generación-demanda mercado seguridad intradiario sesión 1 bajar,Equilibrio generación-demanda seguridad intradiario sesión 1 bajar,<p>Proceso de solución de restricciones técnicas en el MI o Mercado de Seguridad del Intradiario es realizado por el Operador del sistema consistente en la resolución de las restricciones técnicas identificadas tras las actualizaciones de los programas de energía realizadas en el mercado intradiario mediante la retirada de ofertas casadas en este mercado.</p><p>Este servicio se encuentra regulado en el P.O.-3.2.</p><p>En concreto este indicador se refiere a la energía asignada para equilibrio generación-demanda en el mercado de seguridad del intradiario en la sesión 1 a bajar.</p><p><b>Publicación:</b> diariamente sobre las 19:30 horas con la información del día D-1.</p>
658,Energía equilibrio generación-demanda mercado seguridad intradiario sesión 2 bajar,Equilibrio generación-demanda seguridad intradiario sesión 2 bajar,<p>Proceso de solución de restricciones técnicas en el MI o Mercado de Seguridad del Intradiario es realizado por el Operador del sistema consistente en la resolución de las restricciones técnicas identificadas tras las actualizaciones de los programas de energía realizadas en el mercado intradiario mediante la retirada de ofertas casadas en este mercado.</p><p>Este servicio se encuentra regulado en el P.O.-3.2.</p><p>En concreto este indicador se refiere a la energía asignada para equilibrio generación-demanda en el mercado de seguridad del intradiario en la sesión 2 a bajar.</p><p><b>Publicación:</b> diariamente sobre las 19:30 horas con la información del día D-1.</p>
659,Energía equilibrio generación-demanda mercado seguridad intradiario sesión 3 bajar,Equilibrio generación-demanda seguridad intradiario sesión 3 bajar,<p>Proceso de solución de restricciones técnicas en el MI o Mercado de Seguridad del Intradiario es realizado por el Operador del sistema consistente en la resolución de las restricciones técnicas identificadas tras las actualizaciones de los programas de energía realizadas en el mercado intradiario mediante la retirada de ofertas casadas en este mercado.</p><p>Este servicio se encuentra regulado en el P.O.-3.2.</p><p>En concreto este indicador se refiere a la energía asignada para equilibrio generación-demanda en el mercado de seguridad del intradiario en la sesión 3 a bajar.</p><p><b>Publicación:</b> diariamente sobre las 19:30 horas con la información del día D-1.</p>
660,Energía equilibrio generación-demanda mercado seguridad intradiario sesión 4 bajar,Equilibrio generación-demanda seguridad intradiario sesión 4 bajar,<p>Proceso de solución de restricciones técnicas en el MI o Mercado de Seguridad del Intradiario es realizado por el Operador del sistema consistente en la resolución de las restricciones técnicas identificadas tras las actualizaciones de los programas de energía realizadas en el mercado intradiario mediante la retirada de ofertas casadas en este mercado.</p><p>Este servicio se encuentra regulado en el P.O.-3.2.</p><p>En concreto este indicador se refiere a la energía asignada para equilibrio generación-demanda en el mercado de seguridad del intradiario en la sesión 4 a bajar.</p><p><b>Publicación:</b> diariamente sobre las 19:30 horas con la información del día D-1.</p>
661,Energía equilibrio generación-demanda mercado seguridad intradiario sesión 5 bajar,Equilibrio generación-demanda seguridad intradiario sesión 5 bajar,<p>Proceso de solución de restricciones técnicas en el MI o Mercado de Seguridad del Intradiario es realizado por el Operador del sistema consistente en la resolución de las restricciones técnicas identificadas tras las actualizaciones de los programas de energía realizadas en el mercado intradiario mediante la retirada de ofertas casadas en este mercado.</p><p>Este servicio se encuentra regulado en el P.O.-3.2.</p><p>En concreto este indicador se refiere a la energía asignada para equilibrio generación-demanda en el mercado de seguridad del intradiario en la sesión 5 a bajar.</p><p><b>Publicación:</b> diariamente sobre las 19:30 horas con la información del día D-1.</p>
662,Energía equilibrio generación-demanda mercado seguridad intradiario sesión 6 bajar,Equilibrio generación-demanda seguridad intradiario sesión 6 bajar,<p>Proceso de solución de restricciones técnicas en el MI o Mercado de Seguridad del Intradiario es realizado por el Operador del sistema consistente en la resolución de las restricciones técnicas identificadas tras las actualizaciones de los programas de energía realizadas en el mercado intradiario mediante la retirada de ofertas casadas en este mercado.</p><p>Este servicio se encuentra regulado en el P.O.-3.2.</p><p>En concreto este indicador se refiere a la energía asignada para equilibrio generación-demanda en el mercado de seguridad del intradiario en la sesión 6 a bajar.</p><p><b>Publicación:</b> diariamente sobre las 19:30 horas con la información del día D-1.</p>
663,Energía equilibrio generación-demanda mercado seguridad intradiario sesión 7 bajar,Equilibrio generación-demanda seguridad intradiario sesión 7 bajar,<p>Proceso de solución de restricciones técnicas en el MI o Mercado de Seguridad del Intradiario es realizado por el Operador del sistema consistente en la resolución de las restricciones técnicas identificadas tras las actualizaciones de los programas de energía realizadas en el mercado intradiario mediante la retirada de ofertas casadas en este mercado.</p><p>Este servicio se encuentra regulado en el P.O.-3.2.</p><p>En concreto este indicador se refiere a la energía asignada para equilibrio generación-demanda en el mercado de seguridad del intradiario en la sesión 7 a bajar.</p><p><b>Publicación:</b> diariamente sobre las 19:30 horas con la información del día D-1</p>
664,Requerimientos Gestión de Desvíos subir,Gestión de Desvíos,<p>El mecanismo de gestión de desvíos es un servicio de carácter potestativo que tiene por objeto resolver los desvíos entre generación y consumo que pudieran aparecer con posterioridad al cierre de cada sesión del mercado intradiario y hasta el inicio del horizonte de efectividad de la siguiente sesión. La asignación se basa en las ofertas de incremento y reducción del programa de las Unidades de Programación habilitadas que participan en dicha convocatoria. La valoración de las modificaciones programadas para la resolución de los desvíos se realiza al precio marginal de las ofertas asignadas en cada periodo horario. </p><p>Este servicio se encuentra regulado en el P.O.-3.3.</p><p>En concreto este indicador se refiere a los requerimientos de gestión de desvíos a subir.</p><p><b>Publicación:</b> diariamente con la información del día D-1 sobre las 5:00 horas.</p>
665,Requerimientos Gestión de Desvíos bajar,Gestión de Desvíos,<p>El mecanismo de gestión de desvíos es un servicio de carácter potestativo que tiene por objeto resolver los desvíos entre generación y consumo que pudieran aparecer con posterioridad al cierre de cada sesión del mercado intradiario y hasta el inicio del horizonte de efectividad de la siguiente sesión. La asignación se basa en las ofertas de incremento y reducción del programa de las Unidades de Programación habilitadas que participan en dicha convocatoria. La valoración de las modificaciones programadas para la resolución de los desvíos se realiza al precio marginal de las ofertas asignadas en cada periodo horario. </p><p>Este servicio se encuentra regulado en el P.O.-3.3.</p><p>En concreto este indicador se refiere a los requerimientos de gestión de desvíos a bajar.</p><p><b>Publicación:</b> diariamente con la información del día D-1 sobre las 5:00 horas.</p>
666,Necesidades cubiertas de energías de balance RR subir,Necesidades cubiertas balance RR,<p>El mecanismo de asignación de energías de balance RR es un servicio que tiene por objeto restablecer o mantener el nivel de energías de recuperación de la frecuencia con activación manual y automática (energías de regulación secundaria y terciaria) requerido al objeto de prepararse para desequilibrios adicionales del sistema.</p><p>La asignación de energía de balance RR se realiza a través de una plataforma de balance europea (LIBRA) en aplicación del artículo 19 del Reglamento EB.</p><p>Este servicio se encuentra regulado en el P.O.-3.3.</p><p>En concreto este indicador se refiere a las necesidades de energías de balance de tipo RR cubiertas a subir por la plataforma europea de RR.</p><p>Este indicador da continuidad al antiguo asignación gestión de desvíos subir.</p><p><b>Publicación:</b> en el día en curso cada hora para el periodo horario anterior y una vez al día antes de las 13:00 horas con la información del día anterior.</p>
667,Necesidades cubiertas de energías de balance RR bajar,Necesidades cubiertas balance RR,<p>El mecanismo de asignación de energías de balance RR es un servicio que tiene por objeto restablecer o mantener el nivel de energías de recuperación de la frecuencia con activación manual y automática (energías de regulación secundaria y terciaria) requerido al objeto de prepararse para desequilibrios adicionales del sistema.</p><p>La asignación de energía de balance RR se realiza a través de una plataforma de balance europea (LIBRA) en aplicación del artículo 19 del Reglamento EB.</p><p>Este servicio se encuentra regulado en el P.O.-3.3.</p><p>En concreto este indicador se refiere a las necesidades de energías de balance de tipo RR cubiertas a bajar por la plataforma europea de RR.</p><p>Este indicador da continuidad al antiguo asignación gestión de desvíos bajar.</p><p><b>Publicación:</b> en el día en curso cada hora para el periodo horario anterior y una vez al día antes de las 13:00 horas con la información del día anterior.</p>
668,Precio Gestión de Desvíos subir,Gestión de Desvíos,<p>El mecanismo de gestión de desvíos es un servicio de carácter potestativo que tiene por objeto resolver los desvíos entre generación y consumo que pudieran aparecer con posterioridad al cierre de cada sesión del mercado intradiario y hasta el inicio del horizonte de efectividad de la siguiente sesión. La asignación se basa en las ofertas de incremento y reducción del programa de las Unidades de Programación habilitadas que participan en dicha convocatoria. La valoración de las modificaciones programadas para la resolución de los desvíos se realiza al precio marginal de las ofertas asignadas en cada periodo horario. </p><p>Este servicio se encuentra regulado en el P.O.-3.3.</p><p>En concreto este indicador se refiere al precio marginal de la gestión de desvíos a subir.</p><p><b>Publicación:</b> en el día en curso cada hora para el periodo horario anterior y una vez al día antes de las 13:00 horas con la información del día anterior.</p><p></p>
669,Precio Gestión de Desvíos bajar,Gestión de Desvíos,<p>El mecanismo de gestión de desvíos es un servicio de carácter potestativo que tiene por objeto resolver los desvíos entre generación y consumo que pudieran aparecer con posterioridad al cierre de cada sesión del mercado intradiario y hasta el inicio del horizonte de efectividad de la siguiente sesión. La asignación se basa en las ofertas de incremento y reducción del programa de las Unidades de Programación habilitadas que participan en dicha convocatoria. La valoración de las modificaciones programadas para la resolución de los desvíos se realiza al precio marginal de las ofertas asignadas en cada periodo horario. </p><p>Este servicio se encuentra regulado en el P.O.-3.3.</p><p>En concreto este indicador se refiere al precio marginal de la gestión de desvíos a bajar.</p><p><b>Publicación:</b> en el día en curso cada hora para el periodo horario anterior y una vez al día antes de las 13:00 horas con la información del día anterior.</p><p></p>
672,Necesidad de Regulación Terciaria subir,Necesidad Terciaria subir,"<p>La regulaci&oacute;n terciaria es un servicio complementario de oferta obligatoria, gestionado y retribuido por mecanismos de mercado. Tiene por objeto la restituci&oacute;n de la reserva de regulaci&oacute;n secundaria que haya sido utilizada. La asignaci&oacute;n del servicio de regulaci&oacute;n terciaria se realiza teniendo en cuenta las ofertas enviadas a tal fin por las Unidades de Programaci&oacute;n habilitadas para la prestaci&oacute;n de este servicio; la valoraci&oacute;n de las modificaciones programadas por regulaci&oacute;n terciaria se realiza al precio marginal de las ofertas asignadas en cada periodo horario.</p>

<p>Este servicio se encuentra regulado en el P.O.-7.3</p>

<p>En concreto este indicador se refiere a las necesidades en potencia solicitadas&nbsp;de regulaci&oacute;n terciaria a subir.</p>

<p><b>Publicaci&oacute;n:</b> diariamente con la informaci&oacute;n del d&iacute;a D-1 sobre las 5:00 horas.</p>

<p>&nbsp;</p>
"
673,Necesidad de Regulación Terciaria bajar,Necesidad Terciaria bajar,"<p>La regulaci&oacute;n terciaria es un servicio complementario de oferta obligatoria, gestionado y retribuido por mecanismos de mercado. Tiene por objeto la restituci&oacute;n de la reserva de regulaci&oacute;n secundaria que haya sido utilizada. La asignaci&oacute;n del servicio de regulaci&oacute;n terciaria se realiza teniendo en cuenta las ofertas enviadas a tal fin por las Unidades de Programaci&oacute;n habilitadas para la prestaci&oacute;n de este servicio; la valoraci&oacute;n de las modificaciones programadas por regulaci&oacute;n terciaria se realiza al precio marginal de las ofertas asignadas en cada periodo horario.</p>

<p>Este servicio se encuentra regulado en el P.O.-7.3</p>

<p>En concreto este indicador se refiere a las necesidades en potencia solicitadas de regulaci&oacute;n terciaria a bajar.</p>

<p><b>Publicaci&oacute;n:</b> diariamente con la informaci&oacute;n del d&iacute;a D-1 sobre las 5:00 horas.</p>

<p>&nbsp;</p>
"
674,Asignación programada a bajar de energías mFRR SEE (AP),Asignación programada bajar mFRR,"<p>La regulación terciaria se corresponde con el producto estándar europeo de reserva manual para la recuperación de la frecuencia (mFRR, por sus siglas en inglés). Es un servicio de balance de activación de reservas de potencia activa que tiene por objeto mantener la frecuencia y el equilibrio generación-demanda del sistema y permite la restitución del uso de reserva automática de regulación secundaria.</p><p>La asignación de energía de balance mFRR se realiza a través de la plataforma europea de mFRR (MARI) en aplicación del artículo 20 del Reglamento sobre balance eléctrico.</p><p>Este servicio se encuentra regulado en el P.O. 7.3</p><p>En concreto este indicador se refiere a la asignación de energía de regulación terciaria programada a bajar en la plataforma europea de mFRR para el Sistema Eléctrico Español.</p><p><b>Publicación:</b> a más tardar, 30 minutos después del correspondiente periodo de programación.</p>"
675,Asignación programada a subir de energías mFRR SEE (AP),Asignación programada subir mFRR,"<p>La regulación terciaria se corresponde con el producto estándar europeo de reserva manual para la recuperación de la frecuencia (mFRR, por sus siglas en inglés). Es un servicio de balance de activación de reservas de potencia activa que tiene por objeto mantener la frecuencia y el equilibrio generación-demanda del sistema y permite la restitución del uso de reserva automática de regulación secundaria.</p><p>La asignación de energía de balance mFRR se realiza a través de la plataforma europea de mFRR (MARI) en aplicación del artículo 20 del Reglamento sobre balance eléctrico.</p><p>Este servicio se encuentra regulado en el P.O. 7.3</p><p>En concreto este indicador se refiere a la asignación de energía de regulación terciaria programada a subir en la plataforma europea de mFRR para el Sistema Eléctrico Español.</p><p><b>Publicación:</b> a más tardar, 30 minutos después del correspondiente periodo de programación.</p>"
676,Precio marginal regulación terciaria a bajar de activación programada (AP),Terciaria bajar,"<p>La regulación terciaria se corresponde con el producto estándar europeo de reserva manual para la recuperación de la frecuencia (mFRR, por sus siglas en inglés). Es un servicio de balance de activación de reservas de potencia activa que tiene por objeto mantener la frecuencia y el equilibrio generación-demanda del sistema y permite la restitución del uso de reserva automática de regulación secundaria.</p><p>Este servicio se encuentra regulado en el P.O. 7.3</p><p>En concreto este indicador se refiere al precio marginal de la activación programada de la regulación terciaria a bajar.</p><p><b>Publicación:</b> a más tardar, 30 minutos después del correspondiente periodo de programación.</p>"
677,Precio marginal regulación terciaria a subir de activación programada (AP),Terciaria subir,"<p>La regulación terciaria se corresponde con el producto estándar europeo de reserva manual para la recuperación de la frecuencia (mFRR, por sus siglas en inglés). Es un servicio de balance de activación de reservas de potencia activa que tiene por objeto mantener la frecuencia y el equilibrio generación-demanda del sistema y permite la restitución del uso de reserva automática de regulación secundaria.</p><p>Este servicio se encuentra regulado en el P.O. 7.3</p><p>En concreto este indicador se refiere al precio marginal de la activación programada de la regulación terciaria a subir.</p><p><b>Publicación:</b> a más tardar, 30 minutos después del correspondiente periodo de programación.</p>"
680,Energía activada  de regulación secundaria a subir en el sepe,Regulación Secundaria subir en el sepe,"<p>La regulación secundaria es un servicio complementario de carácter potestativo que tiene por objeto el mantenimiento del equilibrio generación-demanda, corrigiendo los desvíos respecto a los programas de intercambio previstos en la interconexión España-Francia, y las desviaciones de la frecuencia.</p><p>Este servicio es retribuido mediante mecanismos de mercado por dos conceptos: disponibilidad (reservas de regulación) y utilización (energía).</p><p>Los Proveedores de Servicio habilitan sus Unidades de Programación para la prestación del servicio de regulación secundaria y envían sus ofertas de energía de regulación en cada sentido (subir/bajar). La asignación se realiza a nivel Proveedor de Servicio, por criterios de mínimo coste, estableciéndose así un precio marginal de energía de regulación secundaria en cada sentido.</p><p>Este servicio se encuentra regulado en el P.O.-7.2.</p><p>En concreto este indicador se refiere a la energía activada de regulación secundaria a subir en el sistema eléctrico peninsular español.</p><p><b>Publicación:</b> diariamente antes de las 13:00 horas con la información del día anterior.</p>"
681,Energía activada  de regulación secundaria a bajar en el sepe,Regulación Secundaria bajar en el sepe,"<p>La regulación secundaria es un servicio complementario de carácter potestativo que tiene por objeto el mantenimiento del equilibrio generación-demanda, corrigiendo los desvíos respecto a los programas de intercambio previstos en la interconexión España-Francia, y las desviaciones de la frecuencia.</p><p>Este servicio es retribuido mediante mecanismos de mercado por dos conceptos: disponibilidad (reservas de regulación) y utilización (energía).</p><p>Los Proveedores de Servicio habilitan sus Unidades de Programación para la prestación del servicio de regulación secundaria y envían sus ofertas de energía de regulación en cada sentido (subir/bajar). La asignación se realiza a nivel Proveedor de Servicio, por criterios de mínimo coste, estableciéndose así un precio marginal de energía de regulación secundaria en cada sentido.</p><p>Este servicio se encuentra regulado en el P.O.-7.2.</p><p>En concreto este indicador se refiere a la energía activada de regulación secundaria a bajar en el sistema eléctrico peninsular español.</p><p><b>Publicación:</b> diariamente antes de las 13:00 horas con la información del día anterior.</p>"
682,Precio de energía de regulación secundaria a subir,Precio Regulación Secundaria subir,"<p>La regulación secundaria es un servicio complementario de carácter potestativo que tiene por objeto el mantenimiento del equilibrio generación-demanda, corrigiendo los desvíos respecto a los programas de intercambio previstos en la interconexión España-Francia, y las desviaciones de la frecuencia.</p><p>Este servicio es retribuido mediante mecanismos de mercado por dos conceptos: disponibilidad (reservas de regulación) y utilización (energía).</p><p>Los Proveedores de Servicio habilitan sus Unidades de Programación para la prestación del servicio de regulación secundaria y envían sus ofertas de energía de regulación en cada sentido (subir/bajar). La asignación se realiza a nivel Proveedor de Servicio, por criterios de mínimo coste, estableciéndose así un precio marginal de energía de regulación secundaria en cada sentido.</p><p>Este servicio se encuentra regulado en el P.O.-7.2.</p><p>En concreto este indicador se refiere al precio marginal resultante de energía de regulación secundaria a subir.</p><p><b>Publicación:</b> una vez al día antes de las 13:00 horas con la información del día anterior.</p>"
683,Precio de energía de regulación secundaria a bajar,Regulación Secundaria bajar,"<p>La regulación secundaria es un servicio complementario de carácter potestativo que tiene por objeto el mantenimiento del equilibrio generación-demanda, corrigiendo los desvíos respecto a los programas de intercambio previstos en la interconexión España-Francia, y las desviaciones de la frecuencia.</p><p>Este servicio es retribuido mediante mecanismos de mercado por dos conceptos: disponibilidad (reservas de regulación) y utilización (energía).</p><p>Los Proveedores de Servicio habilitan sus Unidades de Programación para la prestación del servicio de regulación secundaria y envían sus ofertas de energía de regulación en cada sentido (subir/bajar). La asignación se realiza a nivel Proveedor de Servicio, por criterios de mínimo coste, estableciéndose así un precio marginal de energía de regulación secundaria en cada sentido.</p><p>Este servicio se encuentra regulado en el P.O.-7.2.</p><p>En concreto este indicador se refiere al precio marginal resultante de energía de regulación secundaria a bajar.</p><p><b>Publicación:</b> una vez al día antes de las 13:00 horas con la información del día anterior.</p>"
684,Sentido de los desvíos contrarios al sistema,Sentido,"<p>Los desvíos medidos son la diferencia entre la energía programada y la energía medida. </p><p>El precio de los desvíos se calcula de acuerdo a lo establecido en el P.O. 14.4.</p><p>En concreto este indicador se refiere al sentido de los desvíos contarios al sistema, esto es, si </p><p>%CosteDesvContrario = 100 x (Precio Desvíos a Bajar - Precio Desvíos a Subir)/ Precio Marginal Diario</p><p>  </p><p><b>Publicación:</b> cada hora con la información disponible hasta ese momento del día D se tiene un precio provisional. Al día siguiente se actualiza la información de todo el día anterior ya con el cierre.</p>"
685,Coste del desvíos contrario respecto al precio del mercado SPOT diario,Coste desvíos contrarios,"<p>Los desv&iacute;os medidos son la diferencia entre la energ&iacute;a programada y la energ&iacute;a medida.</p>

<p>El precio de los desv&iacute;os se calcula de acuerdo a lo establecido en el P.O. 14.4.</p>

<p>En concreto este indicador se refiere al porcentaje que se cobra de menos o se paga de m&aacute;s respecto al precio del mercado diario. Se calcula como:</p>

<p>%CosteDesvContrario = 100 x (Precio Desv&iacute;os a Bajar - Precio Desv&iacute;os a Subir)/ Precio Marginal Diario</p>

<p>&nbsp;</p>

<p><b>Publicaci&oacute;n:</b> cada hora con la informaci&oacute;n disponible hasta ese momento del d&iacute;a D se tiene un precio provisional. Al d&iacute;a siguiente se actualiza la informaci&oacute;n de todo el d&iacute;a anterior ya con el cierre.</p>
"
686,Precio de cobro desvíos a subir,Desvíos a subir,"<p>Los desv&iacute;os medidos son la diferencia entre la energ&iacute;a programada y la energ&iacute;a medida.</p>

<p>El precio de los desv&iacute;os se calcula de acuerdo a lo establecido en el P.O. 14.4.</p>

<p><b>Publicaci&oacute;n:</b> cada hora con la informaci&oacute;n disponible hasta ese momento del d&iacute;a D se tiene un precio provisional. Al d&iacute;a siguiente se actualiza la informaci&oacute;n de todo el d&iacute;a anterior ya con el cierre.</p>
"
687,Precio de pago desvíos a bajar,Precio de pago desvíos a bajar,"<p>Los desv&iacute;os medidos son la diferencia entre la energ&iacute;a programada y la energ&iacute;a medida.</p>

<p>El precio de los desv&iacute;os se calcula de acuerdo a lo establecido en el P.O. 14.4.</p>

<p><b>Publicaci&oacute;n:</b> cada hora con la informaci&oacute;n disponible hasta ese momento del d&iacute;a D se tiene un precio provisional. Al d&iacute;a siguiente se actualiza la informaci&oacute;n de todo el d&iacute;a anterior ya con el cierre.</p>
"
688,Energía de ofertas de balance presentadas por el SEE para importación,SEE importación,"<p>Los mercados de balance transfronterizos son un mecanismo gestionado desde la plataforma BALIT para la mejora del uso de la capacidad de intercambio en las interconexiones FR-ES y PT-ES, así como la optimización de costes de asociados a  la regulación de terciaria y la gestión de desvíos.</p><p>En concreto este indicador se refiere a la energía de las ofertas de balance presentadas por el Sistema Eléctrico Español para importación.</p><p><b>Publicación:</b> diariamente sobre las 5:00 horas con la información del día anterior.</p>"
689,Energía de ofertas de balance presentadas por el SEE para exportación,SEE exportación,"<p>Los mercados de balance transfronterizos son un mecanismo gestionado desde la plataforma BALIT para la mejora del uso de la capacidad de intercambio en las interconexiones FR-ES y PT-ES, así como la optimización de costes de asociados a  la regulación de terciaria y la gestión de desvíos.</p><p>En concreto este indicador se refiere a la energía de las ofertas de balance presentadas por el Sistema Eléctrico Español para exportación.</p><p><b>Publicación:</b> diariamente sobre las 5:00 horas con la información del día anterior.</p>"
690,Energía de ofertas de balance presentadas por Francia para importación activadas por el SEE,Francia importación,"<p>Los mercados de balance transfronterizos son un mecanismo gestionado desde la plataforma BALIT para la mejora del uso de la capacidad de intercambio en las interconexiones FR-ES y PT-ES, así como la optimización de costes de asociados a  la regulación de terciaria y la gestión de desvíos.</p><p>En concreto este indicador se refiere a la energía de las ofertas de balance presentadas por Francia para importación activadas por el Sistema Eléctrico Español.</p><p><b>Publicación:</b> diariamente sobre las 5:00 horas con la información del día anterior.</p>"
691,Energía de ofertas de balance presentadas por Portugal para importación activadas por el SEE,Portugal importación,"<p>Los mercados de balance transfronterizos son un mecanismo gestionado desde la plataforma BALIT para la mejora del uso de la capacidad de intercambio en las interconexiones FR-ES y PT-ES, así como la optimización de costes de asociados a  la regulación de terciaria y la gestión de desvíos.</p><p>En concreto este indicador se refiere a la energía de las ofertas de balance presentadas por Portugal para importación activadas por el Sistema Eléctrico Español.</p><p><b>Publicación:</b> diariamente sobre las 5:00 horas con la información del día anterior.</p>"
692,Energía de ofertas de balance presentadas por Francia para exportación activadas por el SEE,Francia exportación,"<p>Los mercados de balance transfronterizos son un mecanismo gestionado desde la plataforma BALIT para la mejora del uso de la capacidad de intercambio en las interconexiones FR-ES y PT-ES, así como la optimización de costes de asociados a  la regulación de terciaria y la gestión de desvíos.</p><p>En concreto este indicador se refiere a la energía de las ofertas de balance presentadas por Francia para exportación activadas por el Sistema Eléctrico Español.</p><p><b>Publicación:</b> diariamente sobre las 5:00 horas con la información del día anterior.</p>"
